municipality,typology,latitude,longitude,observations,median_asking_price,median_sqm_price
Uppvidinge kommun,HOUSE,57.1657958,15.3378057,9,1150000.0,5141.242937853107
Vadstena kommun,HOUSE,58.4505043,14.894207,1,6950000.0,24131.944444444445
Vaggeryds kommun,HOUSE,57.4403462,14.093638349999999,4,2722500.0,18860.197368421053
Valdemarsviks kommun,HOUSE,58.2436628336369,16.555917977273825,2,1300000.0,14550.01269357705
Vallentuna kommun,HOUSE,59.5456848,18.0866871,9,5495000.0,46705.607476635516
Vara kommun,HOUSE,58.280342149999996,12.9100419921,4,1847500.0,8333.0639948287
Varbergs kommun,HOUSE,57.172905,12.2822236,21,3250000.0,28278.30188679245
Vaxholms kommun,HOUSE,59.39449785,18.39951775,2,4747500.0,34523.40958779929
Vellinge kommun,HOUSE,55.4730411,13.0276585,7,5200000.0,28252.032520325203
Vetlanda kommun,HOUSE,57.4052595,15.0860023,5,1595000.0,9273.255813953489
Vilhelmina kommun,HOUSE,64.879705,15.713035600000001,2,1122500.0,14194.271911663216
Vimmerby kommun,HOUSE,57.67678855,15.849750613976763,4,1325000.0,8577.36974262398
Vindelns kommun,HOUSE,64.1251,19.9615631,1,1095000.0,11406.25
Vingåkers kommun,HOUSE,59.03283989968199,15.86415267344668,1,1995000.0,9684.466019417476
Vänersborgs kommun,HOUSE,58.3590333,12.3485689643,14,2347500.0,14656.555930027283
Vännäs kommun,HOUSE,63.90734104998789,19.77973464961194,2,1995000.0,7933.189450716251
Värmdö kommun,HOUSE,59.29826,18.5018559,13,5795000.0,43878.04878048781
Värnamo kommun,HOUSE,57.182715726249995,14.041231473539415,18,2747500.0,10730.560564360509
Västerviks kommun,HOUSE,57.7493151,16.5176311836,10,1762500.0,11674.565217391304
Västerås kommun,HOUSE,59.6135543125,16.523719354150003,40,4095000.0,27380.303030303032
Växjö kommun,HOUSE,56.88056735,14.8100643,30,3847500.0,21754.914220525647
Vårgårda kommun,HOUSE,58.0262334273,12.8012756385,9,2695000.0,23769.84126984127
Ydre kommun,HOUSE,57.8120308,15.212385600000001,2,1072500.0,4646.893996960486
Ystads kommun,HOUSE,55.44173,13.8062849,9,4495000.0,26263.157894736843
Älmhults kommun,HOUSE,56.56158,14.1625681,5,3950000.0,21467.391304347828
Älvdalens kommun,HOUSE,61.88694816753211,12.71990272895,4,4340000.0,34677.44029075805
Älvkarleby kommun,HOUSE,60.6397023,17.3936124,1,2100000.0,16406.25
Älvsbyns kommun,HOUSE,65.6700792249,20.994465,3,2750000.0,11088.709677419354
Ängelholms kommun,HOUSE,56.25833,12.9561928,11,3195000.0,19047.619047619046
Ånge kommun,HOUSE,62.51288795,15.919690150000001,2,905000.0,4263.532191902978
Åre kommun,HOUSE,63.3566366202,12.9103169706,4,3942500.0,38888.54679802955
Åstorps kommun,HOUSE,56.1364172,12.9468999,8,2495000.0,12033.991228070176
Åtvidabergs kommun,HOUSE,58.20946,15.9677639,5,2495000.0,12475.0
Ödeshögs kommun,HOUSE,58.2329446806,14.6666681905,1,1095000.0,6441.176470588235
Örebro kommun,HOUSE,59.27512,15.1932859,23,4250000.0,24217.171717171717
Örkelljunga kommun,HOUSE,56.3039450488,13.32514876495,6,1072500.0,9109.01467505241
Örnsköldsviks kommun,HOUSE,63.309870334799996,18.61391273125,8,1695000.0,7511.374045801527
Östersunds kommun,HOUSE,63.1665783423,14.647780497908403,19,4995000.0,26699.02912621359
Österåkers kommun,HOUSE,59.490897138099996,18.34295094675,20,5545000.0,34239.542391914656
Östhammars kommun,HOUSE,60.222297898622344,18.21944785,8,2745000.0,18011.076385697215
Östra Göinge kommun,HOUSE,56.25519,14.0788988015,9,1475000.0,5932.203389830508
Ale kommun,ROW_HOUSE,57.8871,12.0580845,3,2995000.0,29362.745098039217
Alingsås kommun,ROW_HOUSE,57.9387218193,12.5159271466,9,3500000.0,26692.91338582677
Avesta kommun,ROW_HOUSE,60.144238,16.163048,1,1395000.0,12798.165137614678
Bjuvs kommun,ROW_HOUSE,56.0614819,12.9818378,1,995000.0,14113.475177304965
Borlänge kommun,ROW_HOUSE,60.47875049818851,15.442722645084288,2,2047500.0,17157.051447110927
Borås kommun,ROW_HOUSE,57.72668,12.94846,5,2795000.0,21907.894736842107
Botkyrka kommun,ROW_HOUSE,59.23701475,17.84464935,14,3497500.0,30198.85016595543
Burlövs kommun,ROW_HOUSE,55.6472969,13.1165829,3,3495000.0,29618.64406779661
Båstads kommun,ROW_HOUSE,56.41405213255,12.8600248,4,2345000.0,23509.575220101535
Danderyds kommun,ROW_HOUSE,59.4304276,18.0387039,1,7495000.0,55518.51851851852
Ekerö kommun,ROW_HOUSE,59.278433558428034,17.78556,6,4392500.0,42160.48780487805
Enköpings kommun,ROW_HOUSE,59.6293621,17.095854,4,3097500.0,19968.223053662037
Eskilstuna kommun,ROW_HOUSE,59.36209295,16.48592956342779,8,2295000.0,21024.698340874813
Eslövs kommun,ROW_HOUSE,55.826332,13.293611,1,1695000.0,14425.531914893618
Falkenbergs kommun,ROW_HOUSE,56.9350974,12.3721227,1,2495000.0,21809.440559440558
Falköpings kommun,ROW_HOUSE,58.159275,13.548209100000001,4,2150000.0,17916.666666666664
Falu kommun,ROW_HOUSE,60.6210649,15.6352825,1,3275000.0,30607.47663551402
Gagnefs kommun,ROW_HOUSE,60.5991741,15.0786666,1,1695000.0,20925.925925925927
Gotlands kommun,ROW_HOUSE,56.9474219692302,18.3035842901957,1,2595000.0,30174.418604651164
Gävle kommun,ROW_HOUSE,60.6640434,17.14594,23,2790000.0,20253.623188405796
Göteborgs kommun,ROW_HOUSE,57.7598064285,11.9756880205,30,3414925.5,28561.789088104877
Habo kommun,ROW_HOUSE,57.9181976,14.0912533,1,1995000.0,19950.0
Hagfors kommun,ROW_HOUSE,60.0389701677,13.6846418568,1,575000.0,7986.111111111111
Hallsbergs kommun,ROW_HOUSE,59.0533943,15.1083584,1,1895000.0,22831.32530120482
Hallstahammars kommun,ROW_HOUSE,59.6205483795,16.2335144619,1,2200000.0,10185.185185185184
Halmstads kommun,ROW_HOUSE,56.6627922,12.7984154,5,3675000.0,21120.689655172413
Hammarö kommun,ROW_HOUSE,59.33076,13.521306,6,2695000.0,24398.148148148146
Haninge kommun,ROW_HOUSE,59.1864433,18.137575497770236,5,4295000.0,34687.5
Helsingborgs kommun,ROW_HOUSE,56.03139735,12.756927000000001,18,3345000.0,28828.947368421053
Huddinge kommun,ROW_HOUSE,59.23734632984939,17.959492905351887,12,4645000.0,39281.63191948239
Hudiksvalls kommun,ROW_HOUSE,61.678061915055295,17.095303636089348,2,2225000.0,17380.876239206907
Härnösands kommun,ROW_HOUSE,62.629612,17.956377,1,795000.0,10529.80132450331
Härryda kommun,ROW_HOUSE,57.671562337850006,12.36005743015,2,3175000.0,30121.293800539082
Hässleholms kommun,ROW_HOUSE,56.1454735,13.7155142,1,2395000.0,23950.0
Håbo kommun,ROW_HOUSE,59.556980100000004,17.5196636,4,2995000.0,27249.201415868083
Höganäs kommun,ROW_HOUSE,56.1546707,12.582858550000001,6,2996250.0,25744.61166852471
Järfälla kommun,ROW_HOUSE,59.40734989949296,17.812986350000003,16,3720000.0,29266.917293233084
Jönköpings kommun,ROW_HOUSE,57.7815628,14.13326,3,3300000.0,25663.716814159292
Kalmar kommun,ROW_HOUSE,56.67936135,16.33748915,2,4525000.0,31621.725277318856
Karlskoga kommun,ROW_HOUSE,59.3147522,14.554352300000001,2,2895000.0,25059.52380952381
Karlskrona kommun,ROW_HOUSE,56.209562709500005,15.65967755415,2,3025000.0,19752.02368007732
Karlstads kommun,ROW_HOUSE,59.403556624800004,13.53612879685,4,2645000.0,21872.219905476784
Katrineholms kommun,ROW_HOUSE,59.0031433,16.2029114,1,1375000.0,12947.269303201507
Knivsta kommun,ROW_HOUSE,59.7332990456,17.7837405869,1,2995000.0,27731.48148148148
Kristianstads kommun,ROW_HOUSE,56.037800000000004,14.17582365,2,2695000.0,19817.247904839147
Kumla kommun,ROW_HOUSE,59.13783255,15.125059,4,2110000.0,20995.370370370372
Kungsbacka kommun,ROW_HOUSE,57.5173378,12.0799675,3,4350000.0,37179.48717948718
Kungälvs kommun,ROW_HOUSE,57.868498,11.90065625,8,3675000.0,32412.843004948267
Kävlinge kommun,ROW_HOUSE,55.7912,13.0882034,1,2795000.0,29893.048128342245
Laholms kommun,ROW_HOUSE,56.48893,13.0324783,1,1795000.0,24256.756756756757
Landskrona kommun,ROW_HOUSE,55.8871346,12.8261947209,3,3300000.0,34020.61855670103
Lekebergs kommun,ROW_HOUSE,59.239768999999995,14.90302375,2,2195000.0,19598.214285714283
Lerums kommun,ROW_HOUSE,57.7794320644,12.284370834,3,2900000.0,28125.0
Lidingö kommun,ROW_HOUSE,59.37052475303388,18.1732187,4,9372500.0,72440.76797385621
Linköpings kommun,ROW_HOUSE,58.41598,15.6446927679,9,3295000.0,28405.172413793105
Ljungby kommun,ROW_HOUSE,56.8309137231,13.9412131147,1,2795000.0,14867.021276595744
Lomma kommun,ROW_HOUSE,55.7017676489,13.04164464385,2,5095000.0,43031.02453102453
Luleå kommun,ROW_HOUSE,65.61296,22.1783676,1,2695000.0,24062.5
Lunds kommun,ROW_HOUSE,55.718182600000006,13.216585850000001,10,4472500.0,40812.51026033162
Malmö kommun,ROW_HOUSE,55.538315,12.993747,11,3795000.0,35738.53211009174
Malung-Sälens kommun,ROW_HOUSE,61.15817,13.272968,1,1900000.0,16814.159292035398
Mariestads kommun,ROW_HOUSE,58.695618,13.791569,1,875000.0,11513.157894736842
Marks kommun,ROW_HOUSE,57.490894,12.644377,1,1095000.0,9521.739130434782
Mora kommun,ROW_HOUSE,60.9907812503,14.5141410828,1,1725000.0,15825.688073394496
Mölndals kommun,ROW_HOUSE,57.65208968546072,12.0373374487029,5,6195000.0,51547.619047619046
Nacka kommun,ROW_HOUSE,59.2843971,18.2388439,7,5995000.0,50378.1512605042
Norrköpings kommun,ROW_HOUSE,58.574216031,16.1729456,11,3195000.0,29375.0
Norrtälje kommun,ROW_HOUSE,59.753304,18.683308,3,2450000.0,30714.285714285714
Nykvarns kommun,ROW_HOUSE,59.18118699645,17.4406436478,2,3422500.0,26904.906204906205
Nyköpings kommun,ROW_HOUSE,58.75942745,17.01764585635891,6,2892500.0,24343.22033898305
Nynäshamns kommun,ROW_HOUSE,58.97553,17.9211445,3,3495000.0,35303.030303030304
Nässjö kommun,ROW_HOUSE,57.656135224,14.7206718949,1,1700000.0,11038.961038961039
Osby kommun,ROW_HOUSE,56.3765678,13.972682,1,1495000.0,16519.337016574587
Oxelösunds kommun,ROW_HOUSE,58.6834056,17.0503602,1,1695000.0,15000.0
Partille kommun,ROW_HOUSE,57.702366,12.128453,4,6295000.0,50360.0
Salems kommun,ROW_HOUSE,59.20292,17.774393,5,2895000.0,24125.0
Sandvikens kommun,ROW_HOUSE,60.6201071,16.737903799999998,4,1410000.0,12918.771043771045
Sigtuna kommun,ROW_HOUSE,59.61008443105,17.793055,8,3722500.0,28790.304460173014
Skellefteå kommun,ROW_HOUSE,64.7542861135,20.9679720861,3,4300000.0,19708.520179372197
Skurups kommun,ROW_HOUSE,55.46883,13.575429,1,1495000.0,16988.636363636364
Skövde kommun,ROW_HOUSE,58.401993324,13.8572993296,9,2650000.0,22272.727272727272
Sollentuna kommun,ROW_HOUSE,59.45219805,17.94141725,18,4600000.0,40667.20590675295
Staffanstorps kommun,ROW_HOUSE,55.66647,13.145892,13,3950000.0,34500.0
Stenungsunds kommun,ROW_HOUSE,58.0658804,11.829081949999999,2,2735000.0,29644.59647495362
Stockholms kommun,ROW_HOUSE,59.36832,17.9221516,31,4795000.0,38677.41935483871
Storumans kommun,ROW_HOUSE,65.09057,17.1158943,1,495000.0,2750.0
Strängnäs kommun,ROW_HOUSE,59.3596836,17.0370493,6,2447500.0,24995.020628823448
Sundbybergs kommun,ROW_HOUSE,59.37548,17.933773,3,4995000.0,52941.17647058824
Sundsvalls kommun,ROW_HOUSE,62.389083850000006,17.2777548,6,2587250.0,16250.38485221675
Svalövs kommun,ROW_HOUSE,55.9126008784,13.1002197828,1,2500000.0,11792.452830188678
Svedala kommun,ROW_HOUSE,55.5786824533,13.2408648,3,2595000.0,26263.157894736843
Södertälje kommun,ROW_HOUSE,59.1814041,17.65463,9,3595000.0,30669.291338582676
Trelleborgs kommun,ROW_HOUSE,55.406086,13.0888214,1,2995000.0,25168.067226890755
Trollhättans kommun,ROW_HOUSE,58.26971175,12.3165731,2,1822500.0,15896.476104053236
Trosa kommun,ROW_HOUSE,58.894071599391474,17.55772400579163,3,5435000.0,46853.44827586207
Tyresö kommun,ROW_HOUSE,59.23843,18.248085,5,4295000.0,33057.553956834534
Täby kommun,ROW_HOUSE,59.46080861505,18.076342599999997,6,5495000.0,38537.59162303665
Uddevalla kommun,ROW_HOUSE,58.36553,11.94032,1,1950000.0,15476.190476190477
Umeå kommun,ROW_HOUSE,63.8201523,20.27073,5,4995000.0,30797.101449275364
Upplands Väsby kommun,ROW_HOUSE,59.5112128926,17.9111078424,5,4295000.0,34918.69918699187
Upplands-Bro kommun,ROW_HOUSE,59.5154839,17.6534634,7,3995000.0,29805.194805194806
Uppsala kommun,ROW_HOUSE,59.8515,17.6771755,15,4195000.0,29653.465346534653
Vallentuna kommun,ROW_HOUSE,59.53821655,18.0897942,8,3622500.0,35909.14115176302
Vaxholms kommun,ROW_HOUSE,59.39884240000001,18.38131915,2,4245000.0,35532.38795518207
Vellinge kommun,ROW_HOUSE,55.4643,13.0145435,3,4000000.0,36318.181818181816
Vetlanda kommun,ROW_HOUSE,57.43977,15.079576,1,1950000.0,18224.29906542056
Vimmerby kommun,ROW_HOUSE,57.6652996,15.8765356,1,1595000.0,10777.027027027027
Värmdö kommun,ROW_HOUSE,59.31898938149431,18.453372545143857,5,5295000.0,51407.76699029126
Värnamo kommun,ROW_HOUSE,57.18663576543182,14.052492744457961,2,2610000.0,19764.140397943214
Västerås kommun,ROW_HOUSE,59.608549,16.519464499999998,8,3045000.0,23945.493066255778
Växjö kommun,ROW_HOUSE,56.919838,14.8040791,3,2500000.0,25000.0
Vårgårda kommun,ROW_HOUSE,58.0368505569,12.8078673288,1,1595000.0,15886.454183266931
Ystads kommun,ROW_HOUSE,55.43018499549618,13.780207806743112,1,4195000.0,28931.03448275862
Älvkarleby kommun,ROW_HOUSE,60.570072,17.4498789,1,730000.0,6697.247706422018
Ängelholms kommun,ROW_HOUSE,56.269043,12.8586931,3,2995000.0,23888.88888888889
Åre kommun,ROW_HOUSE,63.3817558,13.1740847,1,6750000.0,67500.0
Örebro kommun,ROW_HOUSE,59.26376505,15.21276475,16,2582500.0,23894.712935229407
Österåkers kommun,ROW_HOUSE,59.47720411375,18.3118722,16,3745000.0,32515.151515151516
