municipality,typology,latitude,longitude,observations,median_asking_price,median_sqm_price
Örnsköldsviks kommun,APARTMENT,63.29469,18.72882,9,950000.0,16964.285714285714
Östersunds kommun,APARTMENT,63.1740815,14.64793665,40,1400000.0,22295.183714001985
Österåkers kommun,APARTMENT,59.4812159663,18.29728,39,2050000.0,39909.09090909091
Östhammars kommun,APARTMENT,60.25593,18.371056,7,995000.0,13214.285714285714
Östra Göinge kommun,APARTMENT,56.15806,14.09715,1,1200000.0,18018.018018018018
Ale kommun,HOUSE,57.95234081465,12.123407130217222,14,3447500.0,25476.39225181598
Alingsås kommun,HOUSE,57.9361404,12.5212377963,25,4175000.0,24637.681159420288
Alvesta kommun,HOUSE,56.9059211,14.5336113,7,1995000.0,12406.639004149378
Aneby kommun,HOUSE,57.8436623,14.8240223,3,1950000.0,11091.954022988506
Arvidsjaurs kommun,HOUSE,65.5937283329205,19.1755608398105,2,1385000.0,8056.547619047619
Arvika kommun,HOUSE,59.65711053395,12.6172770334,6,2522500.0,12554.9853372434
Askersunds kommun,HOUSE,58.9595928646,15.0243275268,4,2347500.0,16171.594982078854
Avesta kommun,HOUSE,60.1560500636,16.11783362465,2,1645000.0,9674.713584288053
Bengtsfors kommun,HOUSE,58.924198150634766,12.314719200134277,1,675000.0,5357.142857142857
Bergs kommun,HOUSE,62.4778895920565,14.324367879423692,2,2322500.0,24395.429009193056
Bjuvs kommun,HOUSE,56.0575489,12.9726715,7,2895000.0,15585.365853658537
Bodens kommun,HOUSE,65.80242435,21.735101200000003,4,2095000.0,14130.208814561582
Bollebygds kommun,HOUSE,57.69412,12.57582,5,4195000.0,21250.0
Bollnäs kommun,HOUSE,61.3393702412,16.3777913107,2,2272500.0,11214.058095354823
Borgholms kommun,HOUSE,56.77287,16.5697956,1,2495000.0,40241.93548387097
Borlänge kommun,HOUSE,60.477859,15.4471073,11,2995000.0,15185.185185185184
Borås kommun,HOUSE,57.7293511685,12.968724787442612,38,2995000.0,16752.583311805734
Botkyrka kommun,HOUSE,59.1894572918,17.819088,15,5995000.0,29228.72340425532
Boxholms kommun,HOUSE,58.23993397,15.0909147,3,1700000.0,9166.666666666666
Bromölla kommun,HOUSE,56.09824019405,14.5179037758,2,1187500.0,12234.848484848484
Bräcke kommun,HOUSE,62.9565360341,15.1322683947,1,1100000.0,10784.313725490196
Båstads kommun,HOUSE,56.42570465875,12.8268783561,6,5845000.0,33523.78881587424
Danderyds kommun,HOUSE,59.40722,18.07187,1,9750000.0,94660.19417475729
Degerfors kommun,HOUSE,59.2380345,14.4341173,7,950000.0,5315.533980582524
Eda kommun,HOUSE,59.8278737841775,12.332614931925999,2,1822500.0,12387.29774162845
Ekerö kommun,HOUSE,59.381685179499996,17.5766839284,8,4595000.0,38716.66666666667
Eksjö kommun,HOUSE,57.6147297,15.5493575,3,900000.0,4838.709677419355
Emmaboda kommun,HOUSE,56.67879395,15.57305683706225,4,675000.0,5821.428571428572
Enköpings kommun,HOUSE,59.64085883904275,17.1002017510748,14,4245000.0,22905.37785429503
Eskilstuna kommun,HOUSE,59.3810081853,16.4872913,45,3250000.0,17017.937219730942
Eslövs kommun,HOUSE,55.8548714,13.348102181849999,8,3522500.0,25674.714143673875
Essunga kommun,HOUSE,58.19035,12.7328281,1,1750000.0,9259.25925925926
Fagersta kommun,HOUSE,59.9691277,15.8365564,1,4200000.0,22222.222222222223
Falkenbergs kommun,HOUSE,56.91053,12.5253172,27,3800000.0,19644.06779661017
Falköpings kommun,HOUSE,58.174449693250494,13.56337354546605,4,2837500.0,11568.288449543026
Falu kommun,HOUSE,60.67976918525,15.7442653885,14,2295000.0,12800.869790151
Filipstads kommun,HOUSE,59.70522316352658,14.161521940571486,4,997500.0,5981.262327416174
Finspångs kommun,HOUSE,58.7088794662053,15.798799975692646,7,1995000.0,13039.21568627451
Flens kommun,HOUSE,59.0660887385,16.5925617,7,1600000.0,10238.095238095239
Forshaga kommun,HOUSE,59.53604676675,13.4757999997007,6,1895000.0,10332.41362098608
Färgelanda kommun,HOUSE,58.5698280375,11.9844390142,1,1495000.0,8742.690058479533
Gagnefs kommun,HOUSE,60.5370819,15.2041604,3,2595000.0,13515.625
Gislaveds kommun,HOUSE,57.30254285,13.5345365,4,2000000.0,11459.679503747739
Gnesta kommun,HOUSE,59.06693949825,17.28884795,6,3422500.0,26886.133756038646
Gotlands kommun,HOUSE,57.6022679125,18.2820663,13,3900000.0,27500.0
Grums kommun,HOUSE,59.35945398232498,13.1051493,5,1295000.0,9087.301587301587
Grästorps kommun,HOUSE,58.3364483682,12.6697657169,1,3200000.0,18285.714285714286
Gällivare kommun,HOUSE,67.137582,20.665903399999998,2,1875000.0,21031.74603174603
Gävle kommun,HOUSE,60.674819975588576,17.154731872435683,44,4270000.0,21234.403254972873
Göteborgs kommun,HOUSE,57.7348328,11.904309272766113,43,6195000.0,39591.19496855346
Götene kommun,HOUSE,58.5315427914,13.4814153295,1,1150000.0,6497.175141242938
Habo kommun,HOUSE,57.9046576,14.082414199999999,4,2222500.0,14843.339176161262
Hagfors kommun,HOUSE,60.11549715,13.5833996,2,787500.0,4949.49494949495
Hallsbergs kommun,HOUSE,59.06749,15.1068330269864,11,2495000.0,19224.598930481283
Hallstahammars kommun,HOUSE,59.6195536,16.2342454,5,2295000.0,15791.366906474821
Halmstads kommun,HOUSE,56.7060356,12.8557844,21,4950000.0,23785.714285714286
Hammarö kommun,HOUSE,59.32083830995,13.500030730677103,4,4745000.0,26857.09687801738
Haninge kommun,HOUSE,59.14605177735898,18.1391945,21,6095000.0,35108.10810810811
Haparanda kommun,HOUSE,65.73336,23.750765,1,500000.0,9090.90909090909
Heby kommun,HOUSE,59.94485,16.93757,7,1490000.0,13333.333333333334
Hedemora kommun,HOUSE,60.404227468100004,16.0020852587,2,922500.0,9118.705035971223
Helsingborgs kommun,HOUSE,56.0382085298,12.7553825,29,3995000.0,25416.666666666668
Herrljunga kommun,HOUSE,58.0756166809,13.0215699692,1,1995000.0,8489.36170212766
Hofors kommun,HOUSE,60.54292905,16.2934189369963,4,1210000.0,8545.603332837376
Huddinge kommun,HOUSE,59.232221835581015,18.00455755,26,6495000.0,40121.22288223141
Hudiksvalls kommun,HOUSE,61.74966049194336,17.093933096,9,2595000.0,15637.254901960785
Hultsfreds kommun,HOUSE,57.354654115849996,15.8453855998,2,597500.0,4248.469192499043
Hylte kommun,HOUSE,56.95565610093105,13.53166865572885,2,2097500.0,21914.502164502162
Hällefors kommun,HOUSE,59.74335,14.5766115,1,3200000.0,33333.333333333336
Härjedalens kommun,HOUSE,62.4835528,14.006487262867877,3,6500000.0,49348.86908841672
Härnösands kommun,HOUSE,62.6419067,17.9079069,7,1800000.0,6666.666666666667
Härryda kommun,HOUSE,57.67642,12.2045204929,11,6950000.0,40000.0
Hässleholms kommun,HOUSE,56.1617546,13.6758862,17,1750000.0,9020.61855670103
Håbo kommun,HOUSE,59.5757263821,17.521008019565965,21,4250000.0,28662.79069767442
Höganäs kommun,HOUSE,56.1975937,12.5758295,19,4970000.0,29761.904761904763
Högsby kommun,HOUSE,57.1614647,16.036104637453164,3,1395000.0,8017.241379310345
Hörby kommun,HOUSE,55.845755834575364,13.679028939592504,6,2097500.0,15242.424242424242
Höörs kommun,HOUSE,55.905515,13.53179055,8,2575000.0,17583.876980428708
Jokkmokks kommun,HOUSE,66.74477015,18.96702545,2,1600000.0,16779.70699945741
Järfälla kommun,HOUSE,59.4000359,17.8300476,11,7350000.0,36844.262295081964
Jönköpings kommun,HOUSE,57.786073,14.27136254895,22,3995000.0,19280.417234001165
Kalix kommun,HOUSE,65.84573,23.1812248,5,875000.0,4247.57281553398
Kalmar kommun,HOUSE,56.6956425280204,16.2958393,28,3627500.0,22558.823529411766
Karlsborgs kommun,HOUSE,58.5597458,14.5016212,1,1095000.0,8423.076923076924
Karlshamns kommun,HOUSE,56.208775700000004,14.854694850000001,4,1300000.0,7760.416666666667
Karlskoga kommun,HOUSE,59.3186519182229,14.501571041463698,18,1520000.0,8237.279241459179
Karlskrona kommun,HOUSE,56.1961354448,15.6223233224,19,2750000.0,17272.727272727272
Karlstads kommun,HOUSE,59.404479,13.52340259915,26,3097500.0,22303.60531309298
Katrineholms kommun,HOUSE,59.0032425,16.2165012,9,2350000.0,14360.0
Kils kommun,HOUSE,59.5131541897,13.3172561769,5,2650000.0,14900.662251655629
Kiruna kommun,HOUSE,67.74283836225766,20.66861762041146,2,1742500.0,9156.990685816694
Klippans kommun,HOUSE,56.10750195,13.235210219853185,12,1672500.0,7691.819601718079
Knivsta kommun,HOUSE,59.777370628149995,17.975633549999998,6,4745000.0,25178.771758404808
Kramfors kommun,HOUSE,62.94448107383114,17.852509718249998,8,575000.0,3452.3330651649235
Kristianstads kommun,HOUSE,56.0037537,14.1448183,23,2750000.0,15190.114068441064
Kristinehamns kommun,HOUSE,59.30435460462104,14.103694993523169,12,2272500.0,12492.938850444853
Krokoms kommun,HOUSE,63.2909355,14.5383663,9,3850000.0,21714.975845410627
Kumla kommun,HOUSE,59.13276,15.1854234131,9,2995000.0,18404.255319148935
Kungsbacka kommun,HOUSE,57.4576521608,12.0310672823,33,5295000.0,31735.1598173516
Kungsörs kommun,HOUSE,59.4371486,16.036329000000002,2,1995000.0,10619.252873563219
Kungälvs kommun,HOUSE,57.86724,11.8933411,15,4995000.0,34130.434782608696
Kävlinge kommun,HOUSE,55.7745990285634,13.0670372459,4,4985000.0,36159.614043245754
Köpings kommun,HOUSE,59.5238571,16.001501,3,2495000.0,11843.22033898305
Laholms kommun,HOUSE,56.4666707216,13.0940555328,5,1400000.0,7608.695652173913
Landskrona kommun,HOUSE,55.8772605598,12.87913275,14,4322500.0,21002.505417118093
Laxå kommun,HOUSE,58.975938424549994,14.626192568899999,4,1475000.0,7792.579994960947
Lekebergs kommun,HOUSE,59.16779,14.9092455,3,3650000.0,23856.2091503268
